date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,32.30588235294118,21.48235294117647,451.29411764705884,28.61764705882353,23.2,46.529411764705884,0.26235294117647057,0.0,3.1294117647058823,,
2022-08-05,34.079166666666666,23.15833333333333,478.6666666666667,30.09583333333333,26.433333333333334,37.375,0.24166666666666667,0.0,2.3249999999999997,73.76470588235294,52.705882352941174
2022-08-06,58.512499999999996,39.81666666666667,637.7083333333334,34.675,36.99583333333333,90.79166666666667,0.40041666666666664,0.0,1.9604166666666665,105.16666666666667,65.20833333333333
2022-08-07,43.52916666666667,29.454166666666666,515.2083333333334,31.05416666666667,31.787499999999998,65.125,0.26875,0.0,2.0104166666666665,101.04166666666667,68.66666666666667
2022-08-08,33.05416666666667,22.84166666666667,499.0833333333333,33.141666666666666,28.020833333333332,33.166666666666664,0.17083333333333336,0.0,2.4291666666666667,81.29166666666667,60.666666666666664
2022-08-09,25.358333333333334,17.245833333333334,403.9583333333333,24.34583333333333,19.787499999999998,38.291666666666664,0.12833333333333333,0.0,2.6166666666666667,65.75,40.0
2022-08-10,26.3,17.820833333333333,359.25,20.058333333333334,16.716666666666665,52.083333333333336,0.17625000000000002,0.0,2.3125,62.208333333333336,36.5
2022-08-11,25.875,17.349999999999998,308.0416666666667,17.05,15.025,57.5,0.26333333333333336,0.375,2.089583333333333,59.958333333333336,35.25
2022-08-12,31.84583333333333,21.2375,382.875,21.991666666666664,15.9625,57.125,0.24125,0.25,2.0208333333333335,68.875,44.166666666666664
2022-08-13,22.445833333333336,14.804166666666667,517.1666666666666,24.8875,17.145833333333332,29.458333333333332,0.34958333333333336,0.0,1.7125000000000001,59.791666666666664,33.375
